,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling,,,,
2021-06-22 17:00,38174000,36602000,40344500,44137161.53,42872941.02,,,,,,
2021-06-22 21:00,36967000,36824000,40085800,44102781.88,42763787.92,,,,,,
2021-06-23 1:00,38472000,37726000,39863250,43885599.4,42544816.27,,,,,,
2021-06-23 5:00,38361000,37784000,39631050,43565209.47,42253822.98,,,,,,
2021-06-23 9:00,39570000,38993000,39462400,43186488.04,41945125.36,,,,,,
2021-06-23 13:00,39523000,39184000,39317200,42830753.34,41659568.9,,,,,,
2021-06-23 17:00,39768000,39066000,39169600,42445415.26,41353476.84,,,,,,
2021-06-23 21:00,40099000,38778000,39001550,41966016.22,40977860.82,,,,,,
2021-06-24 1:00,39111000,38513000,38903250,41790822.27,40828298.18,,,,,,
2021-06-24 5:00,39190000,39077000,38815200,41558142.15,40643828.1,,,,,,
2021-06-24 9:00,39368000,38057000,38631100,41019057.94,40223071.96,,,,,,
2021-06-24 13:00,38660000,38342000,38456100,40305556.81,39689071.21,,,,,,
2021-06-24 17:00,39410000,39407000,38387100,39951387.35,39429958.23,,,,,,
2021-06-24 21:00,40000000,39468000,38407050,40017451.91,39480651.27,,sell,,,,
2021-06-25 1:00,40705000,40254000,38493250,40303520.22,39700096.81,,sell,,,,
2021-06-25 5:00,40436000,40098000,38555750,40499017.55,39851261.7,,sell,,,,
2021-06-25 9:00,40956000,40495000,38650550,40778877.78,40069435.19,,sell,,,,
2021-06-25 13:00,40494000,39679000,38764850,40853991.78,40157611.19,,sell,,,,
2021-06-25 17:00,39920000,38826000,38767100,40856411.94,40159974.63,,,,,,
2021-06-25 21:00,39100000,38150000,38766150,40856623.96,40159799.31,,,,,,
2021-06-26 1:00,38407000,37864000,38829250,40710379.77,40083336.51,,,,,,
2021-06-26 5:00,37837000,37152000,38845650,40657618.66,40053629.11,,,,,,
2021-06-26 9:00,37736000,37458000,38832250,40682638.85,40065842.57,,,,,,
2021-06-26 13:00,37999000,36068000,38746450,40930542.1,40202511.4,,,,,,
2021-06-26 17:00,37098000,36989000,38646250,40962588.75,40190475.83,,,,,,
2021-06-26 21:00,37158000,36851000,38529600,40963888.95,40152459.3,,,,,,
2021-06-27 1:00,37250000,36932000,38422900,40943730.1,40103453.4,,,,,,
2021-06-27 5:00,37641000,37629000,38365450,40904511.03,40058157.36,,,,,,
2021-06-27 9:00,38400000,38303000,38354950,40893178.6,40047102.4,buy,,38365450,,,
2021-06-27 13:00,38750000,38620000,38332100,40851115,40011443.34,,,,,,
2021-06-27 17:00,38720000,38602000,38359350,40877625.87,40038200.58,,,,,,
2021-06-27 21:00,39170000,38593000,38371900,40892312.66,40052175.1,,,,,,
2021-06-28 1:00,38782000,38241000,38313600,40786697.56,39962331.71,,,,,,
2021-06-28 5:00,40000000,39985000,38339450,40873412.11,40028758.08,,sell,39962331.71,1.041622911,,
2021-06-28 9:00,40264000,39749000,38314200,40776896.73,39955997.82,,sell,,,,
2021-06-28 13:00,40569000,40351000,38326850,40830387.23,39995874.82,,sell,,,,
2021-06-28 17:00,40416000,39464000,38275300,40628826.19,39844317.46,,sell,,,,1.06322712
2021-06-28 21:00,40570000,40478000,38315250,40792950.54,39967050.36,,sell,,,,
2021-06-29 1:00,40524000,39938000,38370850,40944844.42,40086846.28,,sell,,,,
2021-06-29 5:00,40350000,39959000,38461300,41128081.87,40239154.58,,sell,,,,
2021-06-29 9:00,40699000,40131000,38574650,41325912.39,40408824.93,,sell,,,,
2021-06-29 13:00,40930000,40436000,38738850,41524388.62,40595875.74,,sell,,,,
2021-06-29 17:00,41441000,41268000,38929350,41863236.9,40885274.6,,sell,,,,
2021-06-29 21:00,42100000,41705000,39211200,42069784.82,41116923.22,,sell,,,,
2021-06-30 1:00,42100000,42068000,39465150,42394061.44,41417757.63,,sell,,,,
2021-06-30 5:00,42180000,41528000,39699000,42492821.53,41561547.69,,sell,,,,
2021-06-30 9:00,41833000,40687000,39886750,42386884.22,41553506.14,,sell,,,,
2021-06-30 13:00,40804000,40676000,40039100,42321848.01,41560932.01,,,,,,
2021-06-30 17:00,40756000,40319000,40139900,42272999.83,41561966.56,,,,,,
2021-06-30 21:00,40538000,40236000,40220700,42230235.8,41560390.54,,,,,,
2021-07-01 1:00,40608000,40452000,40313200,42173805.29,41553603.53,,,,,,
2021-07-01 5:00,40810000,40674000,40417250,42096746.02,41536914.02,,,,,,
