,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling
2021-07-13 13:00:00,39050000.0,39001000.0,39300800.0,39870600.92553175,39671247.92090409,,
2021-07-13 14:00:00,39022000.0,38855000.0,39246050.0,39760989.53656307,39562184.588880256,,
2021-07-13 15:00:00,39020000.0,38917000.0,39204150.0,39679578.792609476,39481180.89864643,,
2021-07-13 16:00:00,39232000.0,39031000.0,39175700.0,39618359.474682644,39420267.67730923,buy,
2021-07-13 17:00:00,39127000.0,39088000.0,39149650.0,39543583.0827491,39345865.167335354,,
2021-07-13 18:00:00,39130000.0,39106000.0,39122750.0,39440694.632717215,39243491.159553625,,
2021-07-13 19:00:00,39186000.0,39046000.0,39100100.0,39365365.62655493,39168538.79842215,,
2021-07-13 20:00:00,39077000.0,38977000.0,39078950.0,39308597.303947866,39112054.31742813,,
2021-07-13 21:00:00,38977000.0,38362000.0,39034200.0,39416098.085054666,39219017.59462939,,
2021-07-13 22:00:00,38597000.0,38551000.0,38996750.0,39414148.39608296,39217077.65410254,,
2021-07-13 23:00:00,38565000.0,38429000.0,38957100.0,39431211.20170161,39234055.1456931,,
2021-07-14 00:00:00,38699000.0,38655000.0,38939800.0,39432069.3315014,39234908.984843895,,
2021-07-14 01:00:00,38744000.0,38715000.0,38921850.0,39419665.131613284,39222566.80595522,,
2021-07-14 02:00:00,38845000.0,38700000.0,38905850.0,39410899.9818934,39213845.48198393,,
2021-07-14 03:00:00,38705000.0,38458000.0,38867950.0,39388528.00871521,39191585.36867163,,
2021-07-14 04:00:00,38540000.0,38381000.0,38827350.0,39367477.18775059,39170639.80181184,,
2021-07-14 05:00:00,38666000.0,38656000.0,38806300.0,39338213.36849053,39141522.30164808,,
2021-07-14 06:00:00,38750000.0,38725000.0,38785100.0,39292747.57771301,39096283.839824446,,
2021-07-14 07:00:00,38741000.0,38699000.0,38769350.0,39266533.76354909,39070201.094731346,,
2021-07-14 08:00:00,38812000.0,38713000.0,38753250.0,39234822.36981415,39038648.25796508,buy,
2021-07-14 09:00:00,38901000.0,38502000.0,38728300.0,39207527.05309806,39011489.41783257,,
2021-07-14 10:00:00,38558000.0,38457000.0,38708400.0,39198407.26095587,39002415.22465109,,
2021-07-14 11:00:00,38690000.0,38636000.0,38694350.0,39175201.99604999,38979325.98606975,,
